20190809-11:20:30.265 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:20:30.265], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:20:30.371 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:20:30.371], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:20:57.769 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:20:57.769], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:20:57.813 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:20:57.813], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:21:46.875 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:21:46.875], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:21:46.927 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:21:46.927], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:22:24.139 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:22:24.139], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:22:24.206 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:22:24.206], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:26:16.906 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:26:16.906], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:26:16.940 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:26:16.940], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:27:08.448 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:27:08.448], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:27:08.469 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:27:08.469], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:29:00.293 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5103], time[20190809-11:29:00.293], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
20190809-11:29:00.351 INFO  [    0] (mds_api.c:670) <api.MdsApi_Logon> - Logon success! url[tcp://139.196.228.232:5203], time[20190809-11:29:00.351], username[customer368], heartBtInt[30], applVerId(C/S)[0.15.7.4 / 0.15.9.1]
